Firm CRD,Investments - CD,Investments - Closed-End Funds,Investments - Commercial Paper,Investments - Corporate Debt,Investments - Equities Exchange,Investments - Equities Foreign,Investments - Equities Otc,Investments - ETFs,Investments - ETNs,Investments - Futures Intangibles,Investments - Futures Tangibles,Investments - Hedge Funds,Investments - Money Markets,Investments - Municipal Securities,Investments - Mutual Funds,Investments - Oil and Gas Partnerships,Investments - Options Commodities,Investments - Options Securities,Investments - Private Equity Funds,Investments - Private Placements,Investments - Real Estate Partnerships,Investments - REITs,Investments - UITs,Investments - US Government Securities,Investments - Variable Annuities,Investments - Variable Life,Investments - Venture Capital Funds,Investments - Warrants,Investments - Other Partnerships,Investment Strategies - Active,Investment Strategies - Alternative Investing,Investment Strategies - Builds Portfolios Of ETFS ETNS,Investment Strategies - Builds Portfolios Of Mutual Funds,Investment Strategies - ESG Impact Investing,Investment Strategies - Focus Cash Management,Investment Strategies - Focus Equities Domestic,Investment Strategies - Focus Equities International,Investment Strategies - Focus Fixed Income Taxable,Investment Strategies - Focus Fixed Income Tax Free,Investment Strategies - Long Term Buy,Investment Strategies - Margin Transactions,Investment Strategies - Option Writing,Investment Strategies - Passive,Investment Strategies - Primarily Recommends Particular Type Of Security,Investment Strategies - Proprietary Model For Security Selection,Investment Strategies - Selects Separate Account Managers,Investment Strategies - Short Sales,Investment Strategies - Short Term Buy,Investment Strategies - Socially Responsible Investing,Investment Strategies - Style Growth,Investment Strategies - Style Value,Investment Strategies - Trading,Investment Strategies - Other,Methods of Analysis - Charting,Methods of Analysis - Cyclical,Methods of Analysis - Fundamental,Methods of Analysis - Technical,Methods of Analysis - Other,Research Methods - Company Press Releases,Research Methods - Corporate Rating Services,Research Methods - Financial Publications,Research Methods - Inspection Of Corporate Records,Research Methods - SEC Filings,Research Methods - Third Party Research,Research Methods - Timing Services,Research Methods - Other Information Sources,7B Private Fund Reporting - Yes or No
332078,,,,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,,
332834,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,
338418,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,,
338443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,
338457,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,,,,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,Yes,,,
338659,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,Yes,,Yes,Yes,,,,,,,Yes,,,,Yes,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,
338853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,Yes,,,,,,,,Yes,Yes,,,,,,,Yes,,,
335491,,,,,Yes,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,Yes,,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,Yes,,,
336858,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,
337833,,,,,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,Yes,,,Yes,,,
338143,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,Yes,Yes,,,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,
338262,Yes,,,Yes,,,,Yes,,,,,Yes,,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,
338336,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,
338540,,,,,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,,
336574,Yes,,,,Yes,,Yes,Yes,,,,,,Yes,,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,
336741,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,Yes,Yes,,,,,Yes,,,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,,,,,,,,,,
337348,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,
338053,Yes,,,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,Yes,Yes,,,,Yes,Yes,,,,,,,,,,
338413,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
337368,Yes,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
337467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,
338165,Yes,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,
338203,,,,Yes,,,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,
338260,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,
338325,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
338414,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337401,,,,Yes,Yes,,,Yes,,,,,,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,
337759,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,
337942,,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,
337994,Yes,,,Yes,Yes,,,Yes,,Yes,,,Yes,,,,,Yes,,,Yes,,,Yes,,,,,,Yes,Yes,Yes,,,,Yes,,Yes,,Yes,,,,,,,,Yes,,Yes,Yes,,,,,Yes,,Yes,,,,,,,,,
